variant,category,file,ground_truth_reps,detected_reps,count_error,accuracy_pct,frames_processed,frames_with_pose,detection_rate,form_excellent,form_good,form_fair,form_poor,notes,error
percentile,push-up,arc2_push-up_35.mp4,4,4,0,100.0,150,150,100.0,4,0,0,0,,
original,push-up,arc2_push-up_37.mp4,4,4,0,100.0,149,147,98.7,4,0,0,0,Front angle,
percentile,push-up,arc2_push-up_37.mp4,4,4,0,100.0,149,147,98.7,4,0,0,0,Front angle,
original,push-up,arc2_push-up_42.mp4,2,0,-2,0.0,150,150,100.0,0,0,0,0,,
percentile,push-up,arc2_push-up_42.mp4,2,0,-2,0.0,150,150,100.0,0,0,0,0,,
original,push-up,arc2_push-up_46.mp4,1,0,-1,0.0,150,150,100.0,0,0,0,0,,
percentile,push-up,arc2_push-up_46.mp4,1,0,-1,0.0,150,150,100.0,0,0,0,0,,
original,push-up,arc2_push-up_47.mp4,1,0,-1,0.0,105,105,100.0,0,0,0,0,,
percentile,push-up,arc2_push-up_47.mp4,1,0,-1,0.0,105,105,100.0,0,0,0,0,,
original,push-up,arc2_push-up_48.mp4,2,0,-2,0.0,150,127,84.7,0,0,0,0,Moving camera,
percentile,push-up,arc2_push-up_48.mp4,2,0,-2,0.0,150,127,84.7,0,0,0,0,Moving camera,
original,push-up,arc2_push-up_49.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,,
percentile,push-up,arc2_push-up_49.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,,
original,push-up,arc2_push-up_50.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,,
percentile,push-up,arc2_push-up_50.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,,
original,push-up,arc2_push-up_51.mp4,3,3,0,100.0,133,133,100.0,3,0,0,0,Camera cuts to different angle and fast moving pushups after 1st rep. 2 videos in one.,
percentile,push-up,arc2_push-up_51.mp4,3,3,0,100.0,133,133,100.0,3,0,0,0,Camera cuts to different angle and fast moving pushups after 1st rep. 2 videos in one.,
original,push-up,arc2_push-up_53.mp4,12,14,2,83.3,663,663,100.0,9,5,0,0,Three different types of pushups in one video,
percentile,push-up,arc2_push-up_53.mp4,12,14,2,83.3,663,663,100.0,11,3,0,0,Three different types of pushups in one video,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,0,1,1,0.0,114,114,100.0,1,0,0,0,Incomplete Video.,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,0,1,1,0.0,114,114,100.0,1,0,0,0,Incomplete Video.,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,1,1,0,100.0,59,59,100.0,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,1,1,0,100.0,59,59,100.0,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,3,3,0,100.0,201,201,100.0,3,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,3,3,0,100.0,201,201,100.0,3,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,1,1,0,100.0,123,123,100.0,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,1,1,0,100.0,123,123,100.0,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,1,1,0,100.0,141,141,100.0,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,1,1,0,100.0,141,141,100.0,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,1,1,0,100.0,69,69,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,1,1,0,100.0,69,69,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,1,1,0,100.0,65,65,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,1,1,0,100.0,65,65,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,1,1,0,100.0,63,63,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,1,1,0,100.0,63,63,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,0,1,1,0.0,61,61,100.0,1,0,0,0,Incomplete Video.,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,0,1,1,0.0,61,61,100.0,1,0,0,0,Incomplete Video.,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,3,3,0,100.0,229,229,100.0,3,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,3,3,0,100.0,229,229,100.0,3,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,4,4,0,100.0,421,421,100.0,4,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,4,4,0,100.0,421,421,100.0,4,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,1,1,0,100.0,77,77,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,1,1,0,100.0,77,77,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,1,1,0,100.0,94,94,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,1,1,0,100.0,94,94,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,1,2,1,0.0,120,120,100.0,2,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,1,2,1,0.0,120,120,100.0,2,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,1,1,0,100.0,70,70,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,1,1,0,100.0,70,70,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,1,1,0,100.0,70,70,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,1,1,0,100.0,70,70,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,1,1,0,100.0,84,84,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,1,1,0,100.0,84,84,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_25.mp4,1,1,0,100.0,78,78,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_25.mp4,1,1,0,100.0,78,78,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_3.mp4,1,1,0,100.0,73,73,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_3.mp4,1,1,0,100.0,73,73,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_4.mp4,0,0,0,100.0,53,53,100.0,0,0,0,0,Incomplete Video.,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_4.mp4,0,0,0,100.0,53,53,100.0,0,0,0,0,Incomplete Video.,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_5.mp4,0,1,1,0.0,82,82,100.0,1,0,0,0,Incomplete Video.,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_5.mp4,0,1,1,0.0,82,82,100.0,1,0,0,0,Incomplete Video.,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_6.mp4,1,1,0,100.0,80,80,100.0,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_6.mp4,1,1,0,100.0,80,80,100.0,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_7.mp4,1,1,0,100.0,138,138,100.0,1,0,0,0,Incomplete start,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_7.mp4,1,1,0,100.0,138,138,100.0,1,0,0,0,Incomplete start,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_8.mp4,0,1,1,0.0,98,98,100.0,1,0,0,0,Incomplete Video.,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_8.mp4,0,1,1,0.0,98,98,100.0,1,0,0,0,Incomplete Video.,
original,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_9.mp4,1,1,0,100.0,72,72,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_9.mp4,1,1,0,100.0,72,72,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_1.mp4,11,11,0,100.0,577,576,99.8,11,0,0,0,,
percentile,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_1.mp4,11,11,0,100.0,577,576,99.8,11,0,0,0,,
original,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_2.mp4,8,8,0,100.0,375,375,100.0,8,0,0,0,,
percentile,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_2.mp4,8,8,0,100.0,375,375,100.0,8,0,0,0,,
original,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_3.mp4,8,8,0,100.0,412,411,99.8,8,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_3.mp4,8,8,0,100.0,412,411,99.8,8,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_4.mp4,4,4,0,100.0,217,216,99.5,4,0,0,0,Front angle with a baggy jacket,
percentile,barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_4.mp4,4,4,0,100.0,217,216,99.5,4,0,0,0,Front angle with a baggy jacket,
original,barbell_biceps_curl,arc1_similar_dataset_0d402adf-578c-4c26-ba50-3b28a6f0e648.mp4,3,3,0,100.0,258,258,100.0,3,0,0,0,,
percentile,barbell_biceps_curl,arc1_similar_dataset_0d402adf-578c-4c26-ba50-3b28a6f0e648.mp4,3,3,0,100.0,258,258,100.0,3,0,0,0,,
original,barbell_biceps_curl,arc1_similar_dataset_1a3e6f0d-fb99-4e4d-b80f-831c7f38aca9.mp4,2,3,1,50.0,240,240,100.0,3,0,0,0,Video inconsistent,
percentile,barbell_biceps_curl,arc1_similar_dataset_1a3e6f0d-fb99-4e4d-b80f-831c7f38aca9.mp4,2,3,1,50.0,240,240,100.0,3,0,0,0,Video inconsistent,
original,barbell_biceps_curl,arc1_similar_dataset_27d82bac-ce83-4f91-a381-c11dd0bf6932.mp4,2,3,1,50.0,300,299,99.7,3,0,0,0,Video inconsistent,
percentile,barbell_biceps_curl,arc1_similar_dataset_27d82bac-ce83-4f91-a381-c11dd0bf6932.mp4,2,3,1,50.0,300,299,99.7,3,0,0,0,Video inconsistent,
original,barbell_biceps_curl,arc1_similar_dataset_3f034ee8-792b-4646-8746-c0dbbf6e5b50.mp4,3,3,0,100.0,300,300,100.0,3,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_similar_dataset_3f034ee8-792b-4646-8746-c0dbbf6e5b50.mp4,3,3,0,100.0,300,300,100.0,3,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_similar_dataset_72fb4cb4-ecad-44df-a0e1-5e4f4b581f9e.mp4,2,3,1,50.0,192,166,86.5,3,0,0,0,Video inconsistent,
percentile,barbell_biceps_curl,arc1_similar_dataset_72fb4cb4-ecad-44df-a0e1-5e4f4b581f9e.mp4,2,3,1,50.0,192,166,86.5,3,0,0,0,Video inconsistent,
original,barbell_biceps_curl,arc1_similar_dataset_89b99b36-5491-4bc6-952c-53a67b889b62.mp4,2,3,1,50.0,300,300,100.0,3,0,0,0,,
percentile,barbell_biceps_curl,arc1_similar_dataset_89b99b36-5491-4bc6-952c-53a67b889b62.mp4,2,3,1,50.0,300,300,100.0,3,0,0,0,,
original,barbell_biceps_curl,arc1_similar_dataset_ac696ae8-e815-4f5f-bd32-864e2477e3ce.mp4,2,2,0,100.0,192,192,100.0,2,0,0,0,,
percentile,barbell_biceps_curl,arc1_similar_dataset_ac696ae8-e815-4f5f-bd32-864e2477e3ce.mp4,2,2,0,100.0,192,192,100.0,2,0,0,0,,
original,barbell_biceps_curl,arc1_similar_dataset_f20150e2-f6e1-41e9-ab13-9d1e42599bba.mp4,1,2,1,0.0,300,278,92.7,2,0,0,0,Video inconsistent,
percentile,barbell_biceps_curl,arc1_similar_dataset_f20150e2-f6e1-41e9-ab13-9d1e42599bba.mp4,1,3,2,0.0,300,278,92.7,2,0,1,0,Video inconsistent,
original,barbell_biceps_curl,arc1_similar_dataset_f32c33d2-e298-499a-a61e-7236d6f1ba64.mp4,3,3,0,100.0,270,262,97.0,3,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc1_similar_dataset_f32c33d2-e298-499a-a61e-7236d6f1ba64.mp4,3,3,0,100.0,270,262,97.0,3,0,0,0,Front angle,
original,barbell_biceps_curl,arc1_similar_dataset_f9d9d0bb-7286-4074-8d3c-e73d4072ad79.mp4,0,3,3,0.0,242,242,100.0,3,0,0,0,Incomplete Video.,
percentile,barbell_biceps_curl,arc1_similar_dataset_f9d9d0bb-7286-4074-8d3c-e73d4072ad79.mp4,0,3,3,0.0,242,242,100.0,3,0,0,0,Incomplete Video.,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_10.mp4,0,0,0,100.0,94,94,100.0,0,0,0,0,Incomplete video,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_10.mp4,0,0,0,100.0,94,94,100.0,0,0,0,0,Incomplete video,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_11.mp4,1,0,-1,0.0,75,75,100.0,0,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_11.mp4,1,0,-1,0.0,75,75,100.0,0,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_13.mp4,1,1,0,100.0,122,122,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_13.mp4,1,1,0,100.0,122,122,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_18.mp4,1,1,0,100.0,67,67,100.0,0,1,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_18.mp4,1,1,0,100.0,67,67,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_19.mp4,1,1,0,100.0,60,60,100.0,0,1,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_19.mp4,1,1,0,100.0,60,60,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_20.mp4,1,1,0,100.0,56,12,21.4,1,0,0,0,Closeup,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_20.mp4,1,1,0,100.0,56,12,21.4,1,0,0,0,Closeup,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_21.mp4,1,1,0,100.0,58,29,50.0,0,0,1,0,Closeup,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_21.mp4,1,1,0,100.0,58,29,50.0,0,0,1,0,Closeup,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_22.mp4,1,1,0,100.0,58,35,60.3,1,0,0,0,Closeup,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_22.mp4,1,1,0,100.0,58,35,60.3,1,0,0,0,Closeup,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_27.mp4,1,1,0,100.0,55,39,70.9,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_27.mp4,1,1,0,100.0,55,39,70.9,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_28.mp4,1,0,-1,0.0,61,25,41.0,0,0,0,0,Closeup,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_28.mp4,1,0,-1,0.0,61,25,41.0,0,0,0,0,Closeup,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_29.mp4,1,0,-1,0.0,58,6,10.3,0,0,0,0,Closeup,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_29.mp4,1,0,-1,0.0,58,6,10.3,0,0,0,0,Closeup,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_30.mp4,1,1,0,100.0,49,49,100.0,1,0,0,0,Incomplete video,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_30.mp4,1,1,0,100.0,49,49,100.0,1,0,0,0,Incomplete video,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_31.mp4,1,1,0,100.0,65,65,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_31.mp4,1,1,0,100.0,65,65,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_32.mp4,1,1,0,100.0,65,65,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_32.mp4,1,1,0,100.0,65,65,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_33.mp4,1,1,0,100.0,62,62,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_33.mp4,1,1,0,100.0,62,62,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_34.mp4,1,1,0,100.0,63,63,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_34.mp4,1,1,0,100.0,63,63,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_35.mp4,1,1,0,100.0,58,58,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_35.mp4,1,1,0,100.0,58,58,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_36.mp4,1,1,0,100.0,50,50,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_36.mp4,1,1,0,100.0,50,50,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_38.mp4,1,1,0,100.0,59,59,100.0,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_38.mp4,1,1,0,100.0,59,59,100.0,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_39.mp4,1,1,0,100.0,54,54,100.0,1,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_39.mp4,1,1,0,100.0,54,54,100.0,1,0,0,0,Front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_41.mp4,1,3,2,0.0,201,128,63.7,3,0,0,0,Closeup moving camera,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_41.mp4,1,3,2,0.0,201,128,63.7,3,0,0,0,Closeup moving camera,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_43.mp4,1,1,0,100.0,132,132,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_43.mp4,1,1,0,100.0,132,132,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_49.mp4,1,1,0,100.0,90,90,100.0,1,0,0,0,Rep start incomplete,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_49.mp4,1,1,0,100.0,90,90,100.0,1,0,0,0,Rep start incomplete,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_51.mp4,3,4,1,66.7,282,282,100.0,3,0,1,0,Close front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_51.mp4,3,5,2,33.3,282,282,100.0,3,0,2,0,Close front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_52.mp4,4,4,0,100.0,372,372,100.0,4,0,0,0,Closegrip front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_52.mp4,4,4,0,100.0,372,372,100.0,4,0,0,0,Closegrip front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_53.mp4,3,3,0,100.0,176,176,100.0,3,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_53.mp4,3,3,0,100.0,176,176,100.0,3,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_54.mp4,3,3,0,100.0,132,132,100.0,3,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_54.mp4,3,3,0,100.0,132,132,100.0,3,0,0,0,Front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_55.mp4,2,2,0,100.0,147,147,100.0,2,0,0,0,Front angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_55.mp4,2,2,0,100.0,147,147,100.0,2,0,0,0,Front angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_56.mp4,2,4,2,0.0,213,206,96.7,2,1,1,0,Blurry video,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_56.mp4,2,5,3,0.0,213,206,96.7,2,2,1,0,Blurry video,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_57.mp4,2,4,2,0.0,234,213,91.0,4,0,0,0,Back angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_57.mp4,2,4,2,0.0,234,213,91.0,4,0,0,0,Back angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_58.mp4,2,1,-1,50.0,162,129,79.6,1,0,0,0,Back angle. Arms not properly visible.,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_58.mp4,2,1,-1,50.0,162,129,79.6,1,0,0,0,Back angle. Arms not properly visible.,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_59.mp4,3,2,-1,66.7,194,194,100.0,2,0,0,0,Back angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_59.mp4,3,2,-1,66.7,194,194,100.0,2,0,0,0,Back angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_6.mp4,1,1,0,100.0,123,123,100.0,1,0,0,0,Right side back angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_6.mp4,1,1,0,100.0,123,123,100.0,1,0,0,0,Right side back angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_60.mp4,3,1,-2,33.3,246,245,99.6,1,0,0,0,Back angle,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_60.mp4,3,1,-2,33.3,246,245,99.6,1,0,0,0,Back angle,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_61.mp4,1,1,0,100.0,70,70,100.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_61.mp4,1,1,0,100.0,70,70,100.0,1,0,0,0,,
original,barbell_biceps_curl,arc2_barbell_biceps_curl_62.mp4,1,1,0,100.0,98,97,99.0,1,0,0,0,,
percentile,barbell_biceps_curl,arc2_barbell_biceps_curl_62.mp4,1,1,0,100.0,98,97,99.0,1,0,0,0,,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_1.MOV,5,5,0,100.0,394,394,100.0,5,0,0,0,90 degree angle - left side,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_1.MOV,5,5,0,100.0,394,394,100.0,5,0,0,0,90 degree angle - left side,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_10.mp4,0,0,0,100.0,84,49,58.3,0,0,0,0,Half rep recorded,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_10.mp4,0,0,0,100.0,84,49,58.3,0,0,0,0,Half rep recorded,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_12.mp4,1,2,1,0.0,93,93,100.0,2,0,0,0,"45 degree angle, 1st rep half recorded so not counted",
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_12.mp4,1,2,1,0.0,93,93,100.0,2,0,0,0,"45 degree angle, 1st rep half recorded so not counted",
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_13.mp4,3,4,1,66.7,291,291,100.0,4,0,0,0,"45 degree angle,Starting rep is half recorded so not counted",
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_13.mp4,3,4,1,66.7,291,291,100.0,4,0,0,0,"45 degree angle,Starting rep is half recorded so not counted",
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_14.mp4,0,0,0,100.0,51,51,100.0,0,0,0,0,Half recorded,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_14.mp4,0,0,0,100.0,51,51,100.0,0,0,0,0,Half recorded,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_15.mp4,2,0,-2,0.0,114,114,100.0,0,0,0,0,One hand at a time - 1 rep each hand.,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_15.mp4,2,1,-1,50.0,114,114,100.0,0,0,1,0,One hand at a time - 1 rep each hand.,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_16.mp4,5,2,-3,40.0,303,303,100.0,0,2,0,0,One hand at a time - 3 rep right hand and 2 rep left hand.,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_16.mp4,5,3,-2,60.0,303,303,100.0,2,0,1,0,One hand at a time - 3 rep right hand and 2 rep left hand.,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_17.mp4,5,3,-2,60.0,323,323,100.0,0,0,3,0,One hand at a time - 2 rep right hand and 3 rep left hand.,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_17.mp4,5,3,-2,60.0,323,323,100.0,0,2,1,0,One hand at a time - 2 rep right hand and 3 rep left hand.,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_18.mp4,1,0,-1,0.0,93,93,100.0,0,0,0,0,One hand at a time - 1 rep left hand and half of right,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_18.mp4,1,1,0,100.0,93,93,100.0,0,0,1,0,One hand at a time - 1 rep left hand and half of right,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_19.mp4,4,2,-2,50.0,315,315,100.0,2,0,0,0,One hand at a time - 2 rep right hand and 2 rep left hand. (First and last rep are half recorded so not counted for each hand),
